Job Title,Skills,Experience,Company Name,Location,Link,Job Role,Job Industry,Job Description
Sr. Sales Executive,"[' Medical Equipment Sales', ' Sales Executive', ' Business Development', ' Medical Devices', ' Sales Officer']",2 - 4 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-sr-sales-executive-multi-recruit-bengaluru-bangalore-2-4-years-22816892.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Sales Exec/ Sales Representative Education,Hospitals/Healthcare/Diagnostics FunctionSales/ Business D,"['Responsible for developing and generating sales by visiting end', 'users, organizing CME, digging distributors, attending exhibitions, to increase brand coverage and its market share.Key Responsibilities:To collect detail information on customers demand and competitors data.\xa0Responsible for Hospital sale in this region.\xa0Responsible for sales west Market. Establishes develops and maintains strong partner relationships with Clients.\xa0To make developing strategy according to the market status.\xa0Ensures achieving assigned sales volume and meets the profitability objectives.\xa0Organizing CME in hospitals.\xa0Qualification:Education background should be medical, biological or pharmaceutical.\xa0At least 2 or 4 years of experience as a medical salesperson.\xa0Proficiency in MS Office Applications.\xa0Having existing and relevant sales network resource is a plus.\xa0High energy, self', 'motivated and ambitious about getting results.\xa0Languages: English (fluent in speaking and written), local language (fluent).\xa0Minimum/Maximum/ Work Experience Required: 2', '4 YearsAnnual CTC: 3', '5 lakhs Location(s) of Job: BangaloreMinimum Education Requirements: Any GraduateNo of rounds of Interviews: 2']"
Full Stack Developer,"[' Node', ' Angular', ' React']",2 - 5 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-full-stack-developer-multi-recruit-bengaluru-bangalore-2-5-years-22901314.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Software Engineer/ Programmer Education,IT/ Computers - Software ,"['We are looking for a Full', 'stack nodeJs developer, who will be part of the Nissi team and your main responsibilities will be in developing and improving and develop new exciting product & candidates with knowledge and experience in Full stack development and with an instinct and drive to build and develop cutting', 'edge products, but we also expect you to be willing to constantly learn and improve yourself as an all rounded developer in various aspects. We strive to have autonomous, self', 'reliant developer teams in Nissi so be prepared to pair program with teammates, review code deploy the product to production, discuss the systems architecture and to chip in wherever the team needs more hands on deck. Requirements: 2', '5 years of experience in Full stack development.\xa0Strong in React and Javascript skills and experience.\xa0Strong in Node server', 'side frameworks like Express and Hapi.\xa0Good CSS skills.\xa0Comfortable working in a team atmosphere and version control using of Git.\xa0Willingness and interest to learn and constantly grow and work on bleeding edge of technology.\xa0Preferences: Experience with modern Javascript build chain (web pack or other).\xa0Agile advocate and a believer in user and problem', 'driven development.\xa0Ability to adjust to different projects and team members.\xa0We want people who constantly are driven to learn and improve their code.\xa0What we offer: A chance to work with tools that contribute to achieving higher efficiency and better results for the development aid sector.\xa0An opportunity to work with interesting technologies and challenges in a creative and entrepreneurial environment together with highly motivated colleagues.\xa0Working full time on open source development.\xa0The strong team which helps you improve as a developer.\xa0We listen to your voice and ideas to improve the company.\xa0We provide a strong learning program and encourage our members to be part of the coding community.\xa0We have a course library and will be added more on your recommendation.\xa0We work on the bleeding edge of technology platforms.\xa0You will get international exposure working on foreign projects.\xa0We believe in physical health helps mental health so we encourage our team members to be fit hence we provide healthy lunches and snacks.\xa0We believe in having a good time and enjoy working with the team.\xa0Minimum/Maximum/ Work Experience Required: 2', '5 Years Annual CTC: Upto 12 LPA Location(s) of Job: Bangalore Minimum Education Requirements: Any Graduate']"
Sales Representative,"[' Medical Representative', ' Sales Representative', ' Medical Sales', ' Medical Equipment Sales', ' Field Sales']",1 - 5 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-sales-representative-multi-recruit-bengaluru-bangalore-1-5-years-22824571.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Medical Representative Education,Hospitals/Healthcare/Diagnostics FunctionSales/ Business D,"[""An ambitious Salesperson is required to join the direct field sales team for dental implants at the world's largest manufacturer of professional dental products and technologies. The Company develops, manufactures and markets a complete line of dental and oral health products, sold directly to dental practices. Perform all field sales functions in an assigned territory including, solicit and secure orders from potential and current clients (Clinic), communicate product information and features that will enhance clients knowledge, provide customer service as required, forecast future sales, prepare periodic reports as required and record all activity in CRM system.The ideal candidate will be a motivated and energetic Salesperson with a proven track record in outside sales and a passion for the medical/dental /Pharma/Healthcare industry.Duties and Responsibilities:Secure orders from existing and new clients by means of visiting the client's clinical office, teaching center, institutional facilities or contacting by phone.\xa0Secure opportunities to quote on client requirements.\xa0Follow up(by phone, email or in person) on quotations submitted to clients.\xa0Establish a professional"", ""client relationship in daily sales activities.\xa0Perform all assigned Sales duties in allocated sales territory.\xa0Conduct product training session at client locations.\xa0Provide a Territory Sales forecast on a Monthly Basis.\xa0Record all sales activities and clients contact information in CRM system.\xa0Submission of Daily Sales Activities Report.\xa0Perform appropriate duties assigned by Management.\xa0Qualifications:At least Bachelor's degree holder (Science, Pharmacy preferred).\xa0Sales Experience in Dentist / Pharmaceutical firm / Implant industry/Insurance/ Health Care Industry preferred.\xa0Minimum/Maximum/ Work Experience Required: 6 Months "", ' 5yearsAnnual CTC: 3 LPA / open for negotiationLocation(s) of Job: BangaloreMinimum Education Requirements: MBA Marketing / B Pharmacy/ Any degreeNo of rounds of Interviews: 2 RoundsWorking Days: Monday ', ' Saturday']"
Student Counsellor,"[' Student Counsellor', ' Counselling', ' Counsellor', ' Education Counsellor']",1 - 3 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-student-counsellor-multi-recruit-bengaluru-bangalore-1-3-years-22907870.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Others Education,Education FunctionEducation,"['Monitoring of all leads coming in ', ' Just Dial, Urban Pro, Facebook, Google etc.\xa0Methodical follow up of all leads within a few hours of enquiry ', ' on CRM.\xa0Report creation for calls made, responses and follow up measures.\xa0Attending to enquiries of students & parents.\xa0Answering phone enquiries and other follow up enquiries.\xa0Counselling students and parents and converting enquiries to walk in and enrollments.\xa0Ensuring appropriate courses being suggested along with up selling courses and relevant materials.\xa0Completion of enrollment procedures as per DQ Labs requirements.\xa0Onboarding procedure ', ' Issuing receipts for enrolled students, ensuring books are given, online activation, Whatsapp group etc.\xa0Ensuring the fees received in cash / cheque / EDC etc. is deposited on within 24 hours into the relevant bank accounts.\xa0Ensuring all enrollment details are updated at the end of the day.\xa0 Communication and Analysis: Single point of contact for students and parents ', ' Coordination & communication by email, SMS, Whatsapp, phone calls etc.\xa0Analysis of enrollments, expectations from parents / students, feedback.\xa0Understanding what is lacking and suggesting improvement techniques before issues escalate.\xa0Competitor Analysis ', ' Formal & Informal.\xa0 Follow up: Follow up with students progress and ensuring that they have completed the course as per enrolment.\xa0Follow up with payments and ensure payments are completed on time from students.\xa0Maintaining a good relationship with students.\xa0Interacting with students and getting informal feedback from them.\xa0Ensuring that parents are kept informed of students progress.\xa0 Operational Responsibilities: Ensuring discipline with students.\xa0Ensuring the overall upkeep of the premises.\xa0Ensuring that classes happen as per schedule.\xa0Ensuring that Rent, Bills etc are paid.\xa0Office requirements to be ensured (Stationery materials, housekeeping materials etc.)\xa0  Skills Required: Strong Communication (English and at least one other language).\xa0Proficiency in MS Office, Google Drive (Docs, Spreadsheet etc).\xa0Good Online Research skills.\xa0Process oriented and meticulous in accounting.\xa0Enthusiastic and self motivated to handle things independently.\xa0Proactive.\xa0Strong sales skills.\xa0  Minimum/Maximum/ Work Experience Required: 1', '3 years  Annual CTC: 3 lakhs + Incentives  Location(s) of Job: Bangalore ', ' Indiranagar, Jayanagar, Malleshwaram  Minimum Education Requirements: Under graduate / Graduate']"
Receptionist/ Front Office,"[' Front Office', ' Front Office Executive', ' Receptionist', ' Office Admin', ' Front Desk', ' Reception', ' Guest Handling', ' Data Entry', ' Office Assistance', ' Telephone Operating']",1 - 2 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-receptionist-front-office-multi-recruit-bengaluru-bangalore-1-2-years-22920446.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Receptionist/ Front Desk Education,Banking/ Financial Services FunctionAdmin/S,"['Meeting and greeting clients.\xa0Assist in the planning and preparation of meetings, conferences and conference telephone calls.\xa0Arranging couriers.\xa0Answering and forwarding phone calls.\xa0Maintain an adequate inventory of office supplies.\xa0Respond to public inquiries.\xa0Should be able to communicate in English, Hindi and Kannada.\xa0 Key Functions & Roles of the Candidate: Good communication and Managerial skills.\xa0Good computer knowledge\xa0A friendly and welcoming approach\xa0Ability to remain calm during difficult situations or in a very busy environment\xa0Excellent interpersonal skills, including a pleasant telephone manner\xa0Good team working skills.\xa0 Minimum/Maximum/ Work Experience Required: 6 months 2 yrs  Annual CTC: open to discuss  Location(s) of Job: Bangalore (JP Nagar)  Minimum Education Requirements: Graduate']"
Sales Coordinator,"[' Sales Executive', ' Sales', ' Field Sales', ' Direct Sales', ' Sales Officer', ' Sales Representative', ' Lead Generation', ' Business Development', ' Real Estate', ' Property Sales', ' Residential Sales', ' Flat Sales', ' Plot Sales']",1 - 3 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-sales-coordinator-multi-recruit-bengaluru-bangalore-1-3-years-22827989.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Sales Exec/ Sales Representative Education,Real Estate FunctionSales/ Business D,"['Tele calling / Follow up.\xa0Good in Excel.\xa0Solve queries of sales team and Customer care.\xa0Give information to customers about the company.\xa0Take daily report from sales team and maintain in Excel sheet.\xa0Strong Computer skills.\xa0 Minimum/Maximum/ Work Experience Required: 1', '3 Years  Annual CTC: upto 3 LPA  Minimum Education Requirements: Bachelors Degree  No of rounds of Interviews: 2  Work Timings: 10 AM to 7:30 PM  Travel & Allowance: Conveyance allowance and company phone will be provided  Languages: English, Kannada, and Hindi']"
UI/UX Angular Developer,"[' UX Principles', ' Full Stack MEAN skills', ' Angular 2+', ' Javascript', ' HTML', ' CSS', ' IOS', ' Android']",1 - 3 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-ui-ux-angular-developer-multi-recruit-bengaluru-bangalore-1-3-years-22927266.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Software Engineer/ Programmer Education,IT/ Computers - Software ,"['Consistently improves platform UI/UX through a user', 'driven, mobile', 'first approach and mindset.\xa0Build solid interfaces that help users understand, navigate and easily access platform features.\xa0Be able to translate wireframes into functional interfaces.\xa0Structure UI aspects to work with user needs and behavior.\xa0Manage control flows through progressive and event', 'based UX development.\xa0Minimum/Maximum/ Work Experience Required: 1', '3 yearsAnnual CTC: 5 LPALocation(s) of Job: Bangalore ', ' MalleshwaramMinimum Education Requirements: BE, BCA, B.Tech or M.Tech']"
Sales Executive,"[' Sales', ' Sales Officer', ' Packaging Sales', ' Printing Sales', ' Commercial Printing Sales', ' Sales Executive', ' Business Development', ' BDE']",2 - 4 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-sales-executive-multi-recruit-bengaluru-bangalore-2-4-years-22833487.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Sales Exec/ Sales Representative Education,Printing/ Packaging FunctionSales/ Business D,"['Achieve revenue targets within operating budgets.\xa0Perform Prospecting Activities and maintain a sufficient base of prospects that will enable completion of sales targets.\xa0Prospecting activities include cold calling, proposal writing, product demonstrations, and customer analysis and needs assessment.\xa0Achieve revenue targets within operating budgets.\xa0Perform Prospecting Activities and maintain a sufficient base of prospects that will enable completion of sales targets.\xa0Prospecting activities include cold calling, proposal writing, product demonstrations, and customer analysis and needs assessment.\xa0Key Functions & Roles of the Candidate: Excellent presentation & communication skills.\xa0Ability to develop business contacts and relationships at all levels of an organization.\xa0Knowledge and understanding of the market trends.\xa0Business concepts and processes.\xa0People Management.\xa0Minimum/Maximum/ Work Experience Required: 2 to 4\tYearsAnnual CTC: 4 lakhs + SIP Location(s) of Job: Bengaluru Minimum Education Requirements: Degree No of rounds of Interviews: 2 Work Timings / Working Days: 9.30 to 6 pm Monday to Saturday']"
Back End Engineer,"[' Ruby', ' ROR', ' ruby on rails']",3 - 5 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-back-end-engineer-multi-recruit-bengaluru-bangalore-3-5-years-22927422.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Software Engineer/ Programmer Education,IT/ Computers - Software ,"['Work with your Technical Manager to ensure a feature implementation is scalable for the next million businesses that will use Synup.\xa0Work in cross', 'functional teams to build internal tools.\xa0Analyze & build tools to debug sub', 'systems.\xa0Building reporting mechanisms to ensure a sub', ""system's performance.\xa0Work with the Infrastructure Engineers to ensure smooth deployments.\xa0Get mentored by some of the finest folks in Bangalore.\xa0 The kind of people we are looking for: You have 0"", '10 yrs of work experience in Ruby on Rails.\xa0An eye for detail in your work.\xa0Be proactive and interested in solving problems for others.\xa0Be able to explore and pickup new tools & languages. Our codebase is mostly in Ruby, But we have a few sub', 'systems using Python, Elixir and GoLang.\xa0 Projects you could work on:  Build GraphQL endpoints for every customer facing component or move existing APIs from REST to GraphQL.\xa0With just under a billion pages crawled for 300 million unique listings, we have built a state of the art crawling system that powers our free scan product. If you like thinking about distributed systems, you might find a good home here!\xa0Design, build and maintain integrations with 50 different partners. We are constantly expanding our network and continue to onboard a partner every month. While most of our integrations are straightforward, we do have some convoluted head spinning quirks in our systems. Help us simplify them.\xa0Integrate our payments partner into our sales pipeline back into our lead generation tool. We believe in automating as many manual, repetitive tasks so that our team gets more productive and uses their time in deriving insights from the vast data that we gather.\xa0Plan and implement multi', 'region availability for our distributed job queuing infrastructure! All of our systems can sustain losing machines, and making our systems even more resistant to failure is a big theme for us.\xa0We have a lot of batch jobs that run every day. How would you plan and build data pipelines, workflows and reporting for these batch jobs?\xa0  Annual CTC: open  Location(s) of Job: Bengaluru  Minimum Education Requirements: Any Graduate / Engineering']"
Front End Engineer,"[' React', ' Redux', ' Apollo GraphQL', ' HTML and CSS', ' D3.js']",6 - 8 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-front-end-engineer-multi-recruit-bengaluru-bangalore-6-8-years-22927455.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Software Engineer/ Programmer Education,IT/ Computers - Software ,"['Architect and own the frontend development.\xa0Are able to empathise with the different types of users that use our platform.\xa0Collaborate with the Designer and the Project Manager to translate beautiful designs into pixel perfect views.\xa0Are proficient in React, Redux, Apollo GraphQL, HTML and CSS\xa0Have a sound understanding of the GraphQL spec. You’ll only be conversing in GraphQL to multiple Backend teams for coming up with APIs that’ll be used by the frontend team. We love GraphQL at Synup.\xa0Build graphs and visualizations using D3.js for customer reports.\xa0Are obsessed about web performance and evangelise the tools that aid the team in writing performant JS code.\xa0Tryout and suggest updates to our frontend tools & workflows.\xa0Take the lead to maintain, re', 'factor and if necessary, throw away legacy frontend code. This is a regular exercise for us.\xa0We take Declarative Programming seriously. Bonus points if you agree and adhere to it.\xa0Minimum/Maximum/ Work Experience Required: 6', '8 yearsAnnual CTC: openLocation(s) of Job: BengaluruMinimum Education Requirements: Any Graduate / Engineering']"
Virtual Reality Developer,"[' VR Developer', ' VR Content', ' HoloLens', ' HTC VIVE', ' Oculus', ' 3D Modelling', ' Videos Editing & Processing', ' 360-Degree Images']",2 - 5 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-virtual-reality-developer-multi-recruit-bengaluru-bangalore-2-5-years-22847867.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Software Engineer/ Programmer Education,KPO/Analytics ,"['We are looking for an experienced Virtual Reality Developer to work with a multinational client (on', 'site) at Bangalore, in the field of chemical and petrochemical manufacturing. The Virtual Reality Developer will be responsible for the development and production of applied VR content.  Day to Day Responsibilities: Create virtual tours & training modules\xa0VR, 3D and Graphics application development using available toolset\xa0Operate hardware, software or system functional specifications such as 360', 'degree camera, still camera\xa0Safety induction video creation in 3D\xa0Interactive virtual tour for site/ center.\xa0Develop documentation for standard workflow processes or training.\xa0 Education & Experience: Bachelors degree in Engineering / Computer Science (Multimedia/Animation) with advanced computer training related to Virtual Reality\xa0Minimum two years of hands on industrial experience in the field of Virtual Reality\xa0 Required Skills: Proficient in creating VR content with available resources\xa0VR operation tools/DSLR 2D images & videos/CAD experienced\xa0Exposure to latest Digitalization trends in VR industry\xa0Video editing (ios /windows)\xa0360', 'degree images/videos editing & processing\xa03D Modeling\xa0Good knowledge of Hardware and various device specifications.\xa0Experience in operating various wearables, HoloLens, HTC VIVE, Oculus\xa0 Desired Skills: Excellent Communication skills (Verbal & Written)\xa0Self', 'motivated with the ability to thrive in a dynamic team environment, work across organizational departments\xa0Ability to deliver technical demonstrations\xa0  Minimum/Maximum/ Work Experience Required: 2', '5 Years  Annual CTC: upto 10 lacs  Number of Vacancies: 1  Location(s) of Job: Bangalore Domlur  Minimum Education Requirements: Bachelors degree in Engineering / Computer Science (Multimedia/Animation) with advanced computer training related to Virtual Reality']"
Full Stack Developer,"[' ReactJS', ' BackboneJS', ' AngularJS', ' Java', ' Python', ' Node.Js', ' javascript frameworks', ' Full Stack Developer', ' RESTful', ' Git', ' SVN']",4 - 8 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-full-stack-developer-multi-recruit-bengaluru-bangalore-4-8-years-22944537.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Software Engineer/ Programmer Education,IT/ Computers - Software ,"[""We're looking for a Full Stack developer who will take a key role on our team and contribute to the product development. You'll be working in agile cross functional team with other talented developers. You'll be working on end to end product features and be involved with releasing them to thousands of users all over the world. We care about the code that we ship. We care if a code manages to clock O(n log n) rather than O(n2). You will get to see what good engineering practices look like and how to build and ship fast. Ensure the technical feasibility of a features working with the Product Owner.\xa0Ensure good coding practices are followed and has knowledge of test driven development.\xa0Ensure that the code you write meet our quality standards.\xa0Optimize code for speed and scalability.\xa0Monitoring uptime and performance of product features owned by your team.\xa0Collaborate with team members to resolve blockers and maintain our feature shipping speed Requirements.\xa0Experience with building web applications with proficiency in either Java, Python or Node.js.\xa0Understanding of security and data protection in web applications.\xa0Knowledge of code versioning tools like Git or svn. Database technologies like MySQL, NoSQL.\xa0Solid Foundation in data structures, algorithms and system designs. Effective communication skills. Both written and speaking skills.\xa0Knowledge of front"", 'end frameworks such as ReactJS BackboneJS or AngularJS is a good to have.\xa0Knowledge about frontend javascript frameworks. Familiarity with API creation and RESTful services.\xa0 Experience: 4', '8 Years  Annual CTC: upto 20 lacs  Location(s) of Job: Bengaluru HSR Layout  Minimum Education Requirements: Any Graduate / Engineering']"
Graphic Designer - Only Bangalore Candidates can Apply,"[' Graphic Designer', ' Creative Design', ' Photoshop', ' Illustrator', ' HTML']",1 - 2 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-graphic-designer-only-bangalore-candidates-can-apply-multi-recruit-bengaluru-bangalore-1-2-years-22750175.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Graphic Designer/ Animator Education,Recruitment/Staffing/RPO ,"['The candidate must possess a combination of diverse, demonstrated skills, including the following: Demonstrable graphic design skills with a strong portfolio that showcases excellent understanding of design principles, colour theory and conceptual design.\xa0Up to date with industry leading software and technologies (Photoshop, Illustrator, HTML and Flash Demo software, etc).\xa0Familiarity with social media strategies and platforms.\xa0Ability to interact, communicate and present ideas.\xa0Professionalism regarding time and deadlines.\xa0Be able to manage multiples projects and a range of people at a time.\xa0Ability to work under pressure and turnaround quality work within tight deadlines.\xa0Out', 'of', 'the', 'box thinker with an eye for detail and openness to criticism.\xa0Co', 'ordinate with the content team and responsible for end results.\xa0Amend final designs to stake holders comments and gain full approval.\xa0 Deliverables: Creatives/graphics for blogs, press releases, eBook, email marketing, brochures, layouts, print ads, banner ads, stall design, flyers, etc.\xa0Help in creating sales PPTs and other internal PPTs.\xa0Support internal communication initiatives with all needed creatives.\xa0 Minimum/Maximum/ Work Experience Required: 1 ', ' 2 years  Annual CTC: Upto 3 LPA  Number of Positions Open: 1  Location(s) of Job: Bangalore  Minimum Education Requirements: BCA/MCA, BFA/MFA or equivalent']"
Scala Developer,"[' Scala Developer', ' Java', ' Java Generics', ' C++']",4 - 8 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-scala-developer-multi-recruit-bengaluru-bangalore-4-8-years-22945111.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Software Engineer/ Programmer Education,IT/ Computers - Software ,"['You will support us with the design and development of a Scala and cloud', 'based business application development and runtime platform. The goal of the platform is to make cloud', 'based business application development as simple and application developer friendly as possible. Design and development of libraries and tools for business application development.\xa0Design and development of tools for operating business applications.\xa0Explore, understand, and implement next', 'generation technologies.\xa0Contribute to open source software (in particular within the Scala ecosystem).\xa0 Need To Have: Bachelor/Masters degree in computer science or related field from a top', 'tier university.\xa0Excellent programming skills and a solid foundation in computer science with strong competencies in data structures, algorithms, databases, and software design.\xa0Solid understanding of imperative programming concepts and a basic understanding of functional programming concepts.\xa0Good knowledge in Java, Java Generics (or C++ Templates), (additionally) Scala, C++, or similar object', 'oriented programming languages.\xa0Strong analytical skills.\xa0Reliable and open', 'minded with strong team working skills, determined to reach a goal in time as well as the ability to work independently and to prioritize.\xa0Experience in Build technologies such as Ant/Maven, and CI tools such as Jenkins.\xa0Ability to get quickly up', 'to', 'speed in a complex, new environment.\xa0Proficiency in spoken and written English.\xa0 Good To Have: Eagerness to switch to Functional Programming paradigm from Imperative Programming mode.\xa0Basic understanding of Functional Programming concepts (Recursion instead of iteration, Higher order functions, immutable vs mutable).\xa0Basic understanding of Functional Reactive Programming (Signal Constants, Reassignable Vars, Events).\xa0Good knowledge of Scala, OCaml, SML, or Haskell.\xa0Experience with building browser', 'based applications with ScalaJS.\xa0Experience with metaprogramming in Scala, e.g., using Scalas macro system.\xa0Proficient with Cloud Foundry and concepts (backing service concept, authorization services, OAuth2.0 token based assertion, Multi', 'Cloud IDE, MTA/MTAR, SAP HANA XSA).\xa0Experiences with the design of distributed systems, e.g., using Kafka.\xa0 Experience: 4', '8 Years  Annual CTC: Upto 20 LPA  Location(s) of Job: Bengaluru HSR Layout  Minimum Education Requirements: Any Graduate / Engineering']"
Field Sales Executive,"[' Sales Executive', ' Sales', ' Field Sales', ' Direct Sales', ' Sales Officer', ' Sales Representative', ' Business Development']",1 - 3 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-field-sales-executive-multi-recruit-bengaluru-bangalore-1-3-years-22848015.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Sales Exec/ Sales Representative Education,Retailing FunctionSales/ Business D,"['To meet new dealers across the city and other cities and promote our range of Wallpaper products.\xa0Follow up on the dealers for orders and maintain relationship with them.\xa0Sales oriented, Good Communication Skills, ability to close business and meet clients.\xa0 Minimum/Maximum/ Work Experience Required:\t1', '3 years  Annual CTC:\t2.5 Lakhs  Location(s) of Job: Bangalore  Minimum Education Requirements: Any bachelors degree']"
Field Sales Executive,"[' Sales Executive', ' Sales', ' Field Sales', ' Direct Sales', ' Sales Officer', ' Sales Representative', ' Business Development']",1 - 3 years,Multi Recruit,Bengaluru / Bangalore,https://www.monsterindia.com/job-vacancy-field-sales-executive-multi-recruit-bengaluru-bangalore-1-3-years-22949582.html?sig=js-1--1&from=&rfr=refine;loc=2;lmy=1;day=365;ref=%2F%2Fwww%2Emonsterindia%2Ecom%2Fjob%2Dsearch%2Ehtml;res_cnt=4%30&hlWords=,Sales Exec/ Sales Representative Education,Retailing FunctionSales/ Business D,"['To meet new dealers across the city and other cities and promote our range of Wallpaper products.\xa0Follow up on the dealers for orders and maintain a relationship with them.\xa0Sales oriented, Good Communication Skills, ability to close business and meet clients.\xa0Minimum/Maximum/ Work Experience Required:\t1', '3 yearsAnnual CTC:\t2.5 LakhsLocation(s) of Job: BangaloreMinimum Education Requirements: Any Bachelors Degree']"
